Date,Water Intake
05-11-2023,3523
06-11-2023,3197
07-11-2023,4288
08-11-2023,3582
09-11-2023,3206
10-11-2023,4295
11-11-2023,3831
12-11-2023,3788
13-11-2023,2993
14-11-2023,3281
15-11-2023,3174
16-11-2023,4187
17-11-2023,3928
18-11-2023,3191
19-11-2023,3446
20-11-2023,3415
21-11-2023,2913
22-11-2023,3229
23-11-2023,3535
24-11-2023,3296
25-11-2023,3554
26-11-2023,3085
27-11-2023,3646
28-11-2023,3369
29-11-2023,3875
30-11-2023,4255
01-12-2023,2955
02-12-2023,4180
03-12-2023,4095
04-12-2023,3042
05-12-2023,2868
06-12-2023,2874
07-12-2023,4185
08-12-2023,3674
09-12-2023,3697
10-12-2023,3341
11-12-2023,3975
12-12-2023,3979
13-12-2023,4197
14-12-2023,3440
15-12-2023,4064
16-12-2023,4040
17-12-2023,3693
18-12-2023,3805
19-12-2023,2808
20-12-2023,3031
21-12-2023,3072
22-12-2023,3206
23-12-2023,3626
24-12-2023,3555
25-12-2023,3731
26-12-2023,3140
27-12-2023,3817
28-12-2023,3843
29-12-2023,3542
30-12-2023,3509
31-12-2023,3571
01-01-2024,3027
02-01-2024,4216
03-01-2024,3172
04-01-2024,4244
